model,roc_auc,pr_auc,f1,recall,precision,accuracy,brier_score,base_rate,cv_roc_auc_mean,cv_roc_auc_std
logistic_regression,0.6163797559742978,0.7673579712143553,0.7215496368038741,0.6796491228070175,0.7689559348947995,0.6322263222632226,0.2365446009110535,0.7011070110701108,0.6005617413687561,0.015325325092898528
random_forest,0.6131023030828099,0.7602386213239666,0.7698759391927311,0.7729824561403509,0.7667942916811695,0.6760147601476014,0.22724585460733496,0.7011070110701108,0.6034581419900106,0.010967776642339916
catboost,0.6129261425167858,0.762227536166235,0.7740476604626891,0.7807017543859649,0.7675060365643326,0.6804428044280443,0.23372994231162997,0.7011070110701108,0.6126884945239224,0.011848133394738697
lightgbm,0.6121162370947946,0.7541970395051418,0.7810508182601206,0.7954385964912281,0.7671742808798646,0.6873308733087331,0.23743181061603394,0.7011070110701108,0.6106093249988566,0.01200011221653289
xgboost,0.6110508988520684,0.7549971641464484,0.7800586510263929,0.7933333333333333,0.7672209026128266,0.6863468634686347,0.23733630175805925,0.7011070110701108,0.6102929875271107,0.011692265298219293
