model,roc_auc,pr_auc,f1,recall,precision,accuracy,brier_score,base_rate,cv_roc_auc_mean,cv_roc_auc_std
catboost,0.7020218044351436,0.19117414058967938,0.32262996941896027,0.6635220125786163,0.21313131313131314,0.7153870864118214,0.21948823361792005,0.1021522646964343,0.6908681786352736,0.025499572588402575
xgboost,0.6979978848122771,0.18911278933120407,0.32228218966846567,0.6572327044025157,0.21348314606741572,0.7176357211692901,0.21926498686488063,0.1021522646964343,0.6882766637720696,0.023828831431571777
logistic_regression,0.6952925822166718,0.18573294887182454,0.30087306917394224,0.7044025157232704,0.19128949615713065,0.6655958882107292,0.22196134156138478,0.1021522646964343,0.6693269809236853,0.01922035153521212
random_forest,0.6945218888176325,0.1726674385447089,0.29508196721311475,0.5377358490566038,0.20332936979785968,0.7375522004497269,0.16395423814489496,0.1021522646964343,0.6777609850522148,0.020966604241504254
lightgbm,0.6934299794106727,0.190745014350638,0.32228218966846567,0.6572327044025157,0.21348314606741572,0.7176357211692901,0.2201651024175571,0.1021522646964343,0.6869562978106195,0.02018637319970727
